name,artist,uri,url,genre,danceability,energy,valence,acousticness
Sleepy Head (Piano Instrumental),Nursery Rhymes 123,spotify:track:6D63IpIWvNegtCPIDpJPk2,https://p.scdn.co/mp3-preview/c9f8d3f66849474691b1810116dfae1595f9b3f0?cid=044f973e13634ba3becdcb523d0f964f,nursery,0.451,0.00824,0.328,0.993
Nuestra Última Canción,Calero LDN,spotify:track:0vxrgWaRTCiWXzmHeDcqwS,https://p.scdn.co/mp3-preview/858e84dd8ba7db5934659b40b380ec78389ea4b3?cid=044f973e13634ba3becdcb523d0f964f,spa,0.63,0.751,0.333,0.707
"Flute Sonata in C Major, BWV 1033: 1. Andante - Presto",Johann Sebastian Bach,spotify:track:4UD7GYfcbxwG6VVA3EWlZP,,classical flute,0.412,0.0108,0.889,0.995
Amak Oi Amak,Misramolai,spotify:track:3Z1gFk9AspeaDj4KQt6HhG,https://p.scdn.co/mp3-preview/69092a3e2a47e22947245261cfb02f793bd9f9fa?cid=044f973e13634ba3becdcb523d0f964f,pop minang,0.566,0.858,0.917,0.179
I'll Never Fall In Love Again,Tom Jones,spotify:track:2xPcEcrEq0KkJWVhRHl54A,,british country,0.279,0.374,0.318,0.792
En Otra Piel,Antologia,spotify:track:1XYPQ3j9sh135wM5FhWVOz,https://p.scdn.co/mp3-preview/3e0dee0146269bd2d34e84df387001b6f913ebaf?cid=044f973e13634ba3becdcb523d0f964f,huayno,0.477,0.716,0.636,0.0634
Stänger Av Den (feat. Carlito),Mohammed Ali,spotify:track:20bvl456uy7213A7o91fr7,https://p.scdn.co/mp3-preview/bed4536a81687af44eb72b2fac734f5904017480?cid=044f973e13634ba3becdcb523d0f964f,swedish hip hop,0.774,0.746,0.9,0.0439
Nde Otronde Rehayhu,Dúo Pérez - Peralta y Su Conjunto Paraguayo,spotify:track:4eZIMWvHVKBzxXVUzk1qmg,https://p.scdn.co/mp3-preview/523f8c0e8ff3a0aa9859f519c2f0f2683eb83230?cid=044f973e13634ba3becdcb523d0f964f,folklore paraguayo,0.614,0.755,0.946,0.678
Intentions,Justin Bieber,spotify:track:1ggmmr0SdHW6F4aHgze3hk,,pop,0.813,0.554,0.86,0.315
House of the rising sun,Nomy,spotify:track:2FtBwcPXxZMwItLarpeuXX,https://p.scdn.co/mp3-preview/34676336df7b13e7966db0e1cc660b3bb84b0963?cid=044f973e13634ba3becdcb523d0f964f,swedish house,0.491,0.891,0.152,0.0497
Paei Ki Afti I Kyriaki,Popi Asteriadi,spotify:track:5xnLmC8CVKvj7EwW8MHH7f,https://p.scdn.co/mp3-preview/f9f13a5bfae449d14a3e62cfa25583ad5f3d5f7b?cid=044f973e13634ba3becdcb523d0f964f,neo kyma,0.422,0.104,0.347,0.966
Fólk fær andlit,Hildur Guðnadóttir,spotify:track:5dYv0usr2tUu6HufKzcxio,,icelandic folk,0.199,0.0616,0.0386,0.994
Inward Journey,R. Carlos Nakai,spotify:track:4XUvVbcITJLPEmA59suKV3,https://p.scdn.co/mp3-preview/ca87b1f4b73c11f8e2cf8891fdcf845707d8f552?cid=044f973e13634ba3becdcb523d0f964f,navajo,0.299,0.0234,0.358,0.996
Spiritual Illiterate,Son Of Fortune,spotify:track:0DFqfdSPkzySN2jytKDf60,https://p.scdn.co/mp3-preview/e043d69172ed65a985d7c78921c7ade86cbb1f7f?cid=044f973e13634ba3becdcb523d0f964f,faroese pop,0.565,0.658,0.331,0.00911
Oooh-Dahdily-Dah,Louis Prima,spotify:track:0BdkXcZUv8xgin2J8yNLe5,https://p.scdn.co/mp3-preview/67c53b3eddb4e73e4e69a6dd165977e65c3d61f5?cid=044f973e13634ba3becdcb523d0f964f,jump up,0.484,0.812,0.939,0.765
Song of the Albanian Uprising [Prit djemte e Mumleqetit] - Folk song,Dervish Shaqa,spotify:track:2nbScvxTyHszOotfV7QqbM,https://p.scdn.co/mp3-preview/67bac02bb01cd59c7f5aa5594c4e3896cd7a3d3a?cid=044f973e13634ba3becdcb523d0f964f,kosovan pop,0.458,0.596,0.536,0.818
Rhythms of the Night,Thorbjørn Risager,spotify:track:3i1ubPK2hBYGZqcA6ABvMW,https://p.scdn.co/mp3-preview/849e563e5f9ef6aa0dfc31fcb561358c0e906275?cid=044f973e13634ba3becdcb523d0f964f,modern blues rock,0.745,0.734,0.839,0.0808
Andromeda,Weyes Blood,spotify:track:51EMSRpNm9Rg5rGViVCczv,https://p.scdn.co/mp3-preview/4b5a66a60458761d51938a2efbf3b76d3652eb6f?cid=044f973e13634ba3becdcb523d0f964f,experimental,0.467,0.461,0.188,0.368
The Ballad of Flemmingrad (Traditional Version),Sang-Yoon Jung,spotify:track:44m6SYoiFxSEwaFzMuZ6kG,,dong yo,0.335,0.262,0.465,0.86
Scary Monsters and Nice Sprites,Skrillex,spotify:track:5q8oybjZelukF4h0CzSUN9,https://p.scdn.co/mp3-preview/a9933da0578aadd39d09ded36c1e2f1bdfa6bd19?cid=044f973e13634ba3becdcb523d0f964f,complextro,0.528,0.945,0.308,0.0034
Build Us a Rocket Then...,Sha's Feckel,spotify:track:6J7RfCcooQjudkzOHwL1EL,https://p.scdn.co/mp3-preview/6cbaf526f9122767ee864c29d428579297ba048a?cid=044f973e13634ba3becdcb523d0f964f,swiss rock,0.338,0.54,0.15,0.00556
Paint It Black,Gábor Szabó,spotify:track:3Tro4B5h64gf18NbgbBMW5,,spiritual jazz,0.594,0.739,0.721,0.178
Funky Backdrops for Hanging Out,Harlem Jazz Guitar Quartet,spotify:track:3EXE3hIbMUE3RBLvUY6wL6,https://p.scdn.co/mp3-preview/4b0695e6af95654566c96f42bc3e1b34180b8b4a?cid=044f973e13634ba3becdcb523d0f964f,jazz funk,0.549,0.163,0.263,0.927
Blues of a Salesman,Lars Winnerbäck,spotify:track:2aoljRZAVd3YglT6NxOflO,,swedish blues,0.59,0.372,0.497,0.717
